title,price_gbp,price_inr,rating,in_stock,category
First and First (Five Boroughs #3),15.97,1684.84,4,True,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,2316.78,1,True,Romance
The Wedding Dress,24.12,2544.66,1,True,Romance
Suddenly in Love (Lake Haven #1),55.99,5906.95,2,True,Romance
Something More Than This,16.24,1713.32,4,True,Romance
Doing It Over (Most Likely To #1),35.61,3756.86,3,True,Romance
The Wedding Pact (The O'Malleys #2),32.61,3440.36,3,True,Romance
Hold Your Breath (Search and Rescue #1),28.82,3040.51,1,True,Romance
Dirty (Dive Bar #1),40.83,4307.56,4,True,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98,5694.89,3,True,Romance
Off the Hook (Fishing for Trouble #1),47.67,5029.19,3,True,Romance
A Gentleman's Position (Society of Gentlemen #3),14.75,1556.12,5,True,Romance
"Sit, Stay, Love",20.9,2204.95,3,True,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3,3302.15,1,True,Romance
The Perfect Play (Play by Play #1),59.99,6328.95,3,True,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87,1357.78,1,True,Romance
Changing the Game (Play by Play #2),13.38,1411.59,3,True,Romance
A Walk to Remember,56.43,5953.36,1,True,Romance
The Purest Hook (Second Circle Tattoos #3),12.25,1292.38,1,True,Romance
The Obsession,45.43,4792.86,1,True,Romance
Reservations for Two,11.1,1171.05,3,True,Romance
Best of My Love (Fool's Gold #20),27.41,2891.76,2,True,Romance
Where Lightning Strikes (Bleeding Stars #3),39.77,4195.74,3,True,Romance
This One Moment (Pushing Limits #1),48.71,5138.9,1,True,Romance
"Rhythm, Chord & Malykhin",28.34,2989.87,2,True,Romance
My Perfect Mistake (Over the Top #1),38.92,4106.06,2,True,Romance
Listen to Me (Fusion #1),58.99,6223.45,3,True,Romance
Imperfect Harmony,34.74,3665.07,4,True,Romance
Fighting Fate (Fighting #6),39.24,4139.82,3,True,Romance
Deep Under (Walker Security #1),47.09,4968.0,5,True,Romance
Charity's Cross (Charles Towne Belles #4),41.24,4350.82,1,True,Romance
Bounty (Colorado Mountain #7),37.26,3930.93,4,True,Romance
